optimizer,gd_variant,learning_rate,batch_size,epochs,train_accuracy,test_accuracy,train_loss,test_loss,training_time_s
RMSprop,Stochastic,0.0001,1,1,0.9533666372299194,0.9508000016212463,0.20218990743160248,0.20816732943058014,185.4
RMSprop,Stochastic,0.0005,1,1,0.9689499735832214,0.9646999835968018,0.1863609254360199,0.2117181122303009,181.1
RMSprop,Stochastic,0.001,1,1,0.9663333296775818,0.9613999724388123,0.24716585874557495,0.28174757957458496,205.8
RMSprop,Stochastic,0.005,1,1,0.7999333143234253,0.8041999936103821,1.1048109531402588,1.076888918876648,228.3
RMSprop,Stochastic,0.01,1,1,0.7451000213623047,0.7430999875068665,2.1362671852111816,2.081291437149048,212.0
RMSprop,Stochastic,0.05,1,1,0.5633333325386047,0.5663999915122986,2.8285903930664062,2.7926523685455322,156.1
RMSprop,Stochastic,0.1,1,1,0.21753333508968353,0.2190999984741211,2.0845508575439453,2.109401226043701,162.0
RMSprop,Mini-Batch,0.0001,32,15,0.9966833591461182,0.98089998960495,0.013150693848729134,0.0687514990568161,109.5
RMSprop,Mini-Batch,0.0005,32,15,0.9995833039283752,0.9843000173568726,0.0010461853817105293,0.09432614594697952,102.5
RMSprop,Mini-Batch,0.001,32,15,0.9988666772842407,0.9847000241279602,0.004450072068721056,0.11574915796518326,99.7
RMSprop,Mini-Batch,0.005,32,15,0.9854333400726318,0.9728000164031982,0.1465076357126236,0.5208626389503479,105.6
RMSprop,Mini-Batch,0.01,32,15,0.9621999859809875,0.9538000226020813,0.34596601128578186,0.876133382320404,121.4
RMSprop,Mini-Batch,0.05,32,15,0.9125666618347168,0.9017999768257141,0.45947539806365967,0.6984127759933472,104.4
RMSprop,Mini-Batch,0.1,32,15,0.5373666882514954,0.5386000275611877,1.160815715789795,1.4822574853897095,112.0
RMSprop,Batch,0.0001,60000,15,0.701116681098938,0.72079998254776,1.6173139810562134,1.5949492454528809,9.7
RMSprop,Batch,0.0005,60000,15,0.8556333184242249,0.8603000044822693,0.5824487209320068,0.5627890825271606,9.3
RMSprop,Batch,0.001,60000,15,0.8281000256538391,0.8337000012397766,0.5629048347473145,0.5474557876586914,8.8
RMSprop,Batch,0.005,60000,15,0.8396666646003723,0.8468999862670898,0.4983063340187073,0.48160797357559204,8.7
RMSprop,Batch,0.01,60000,15,0.8415499925613403,0.8495000004768372,0.524870753288269,0.5079666376113892,8.9
RMSprop,Batch,0.05,60000,15,0.7218000292778015,0.7275999784469604,0.8548166751861572,0.8537068367004395,8.6
RMSprop,Batch,0.1,60000,15,0.4322666525840759,0.4318000078201294,1.5527324676513672,1.5546934604644775,8.2
Adam,Stochastic,0.0001,1,1,0.979033350944519,0.9742000102996826,0.0689958855509758,0.0867004543542862,166.9
Adam,Stochastic,0.0005,1,1,0.9729499816894531,0.9679999947547913,0.08801945298910141,0.1072218120098114,160.6
Adam,Stochastic,0.001,1,1,0.9624666571617126,0.9598000049591064,0.14950352907180786,0.16546998918056488,171.3
Adam,Stochastic,0.005,1,1,0.8952166438102722,0.8986999988555908,0.4849010407924652,0.4728141129016876,169.4
Adam,Stochastic,0.01,1,1,0.7611166834831238,0.7616000175476074,0.9390779733657837,1.0276951789855957,164.2
Adam,Stochastic,0.05,1,1,0.0903666689991951,0.08919999748468399,2.334547281265259,2.3328959941864014,174.0
Adam,Stochastic,0.1,1,1,0.09929999709129333,0.10320000350475311,2.4168245792388916,2.4127440452575684,177.0
Adam,Mini-Batch,0.0001,32,15,0.9983333349227905,0.9797999858856201,0.00740051781758666,0.07512037456035614,107.1
Adam,Mini-Batch,0.0005,32,15,0.9990500211715698,0.9829000234603882,0.0030115549452602863,0.08834049105644226,110.6
Adam,Mini-Batch,0.001,32,15,0.9979833364486694,0.9825000166893005,0.008192630484700203,0.09829801321029663,110.4
Adam,Mini-Batch,0.005,32,15,0.9908000230789185,0.9746999740600586,0.0334940142929554,0.1569312959909439,109.7
Adam,Mini-Batch,0.01,32,15,0.9814000129699707,0.9674999713897705,0.07562258839607239,0.22303837537765503,108.4
Adam,Mini-Batch,0.05,32,15,0.5011333227157593,0.49559998512268066,1.226892113685608,1.4124265909194946,118.4
Adam,Mini-Batch,0.1,32,15,0.19268333911895752,0.18979999423027039,1.9144846200942993,1.9130339622497559,122.5
Adam,Batch,0.0001,60000,15,0.613099992275238,0.6184999942779541,1.8625612258911133,1.853255033493042,10.0
Adam,Batch,0.0005,60000,15,0.8536333441734314,0.8650000095367432,0.6050956845283508,0.5794355869293213,9.4
Adam,Batch,0.001,60000,15,0.8914833068847656,0.8967000246047974,0.3742275536060333,0.3629748821258545,9.4
Adam,Batch,0.005,60000,15,0.9224833250045776,0.9212999939918518,0.2646735906600952,0.26614999771118164,9.7
Adam,Batch,0.01,60000,15,0.9028333425521851,0.9088000059127808,0.34718045592308044,0.33599063754081726,9.2
Adam,Batch,0.05,60000,15,0.7092000246047974,0.713699996471405,0.9246705770492554,0.9450418949127197,8.7
Adam,Batch,0.1,60000,15,0.35670000314712524,0.35690000653266907,1.7507286071777344,1.7304354906082153,8.6
